,과거 답변 참고 → 과기부 내선안내,,,,
문의 유형 ,문의내용 요약,문의내용 (원본),25 문의 답변 <권고 답변(예)>,관련 자료 안내,문의 카테고리
클라우드 관련 정책 및 법·제도 해석 지원,SaaS 사용 시 CSAP 인증 필수 여부,"상용SW를 SaaS로 사용할 경우 CSAP 인증을 받은 SaaS 제품 선택 여부, SaaS 선택시 반드시 CSAP 인증 제품 선택 여부","<클라우드컴퓨팅법>과 행정안전부의 지침에 의거하여 상용 SaaS를 도입할 떄 CSAP 인증을 받은 제품을 원칙적으로 사용해야 됩니다.
CSAP 인증 제품 현황은 KISA 클라우드 보안인증제 인증발급현황과 민간 SaaS 연계공통기반 자료실에서 월 별 CSAP 인증을 받는 SaaS 목록을 확인하실 수 있습니다.","1. 민간 SaaS 연계공통기반 홈페이지 > 자료실 > 매달 CSAP 인증 업데이트 (SaaS.go.kr)
2. KISA 클라우드 보안인증제 연도별 인증서 발급현황 확인 (isms.kisa.or.kr/)",인증 및 보안
클라우드 관련 정책 및 법·제도 해석 지원,클라우드 전환 도입 유형 문의,클라우드 전환을 위한 도입 유형 문의,"클라우드 전환 도입 유형과 관련된 내용은 <행정공공기관 클라우드컴퓨팅서비스 이용안내서>, <클라우드 네이티브 구축·운영 가이드>에서 참고해주시길 바랍니다.","클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서
클라우드전문지원센터 > 자료실 > 클라우드 네이티브 구축운영 가이드",도입 방식 및 절차
클라우드 지원사업 문의,정부 지원 클라우드 컨설팅 문의,현재 국가가 지원하는 클라우드 전환 관련 컨설팅을 받을 수 있는가?,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,컨설팅 및 지원 제도
클라우드 지원사업 문의,민간 컨설팅 기업 소개 요청,클라우드 전환 관련 컨설팅을 해주는 민간 기업을 소개받고 싶음,디지털서비스 이용지원시스템에서 클라우드 컨설팅 기업을 검색하여 확인할 수 있습니다.,디지털서비스 이용지원시스템(digitalmarket.kr)에서 검색 가능,컨설팅 및 지원 제도
클라우드 지원사업 문의,클라우드 서비스 이용검토 대응 방법,클라우드 컴퓨팅 서비스 이용검토를 하라는 요청이 왔다. 어떻게 해야 하는가?,<행정공공기관 클라우드컴퓨팅서비스 이용안내서> 12p부터 이용검토 관한 절차가 안내되어있어 참고하시기 바랍니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,디지털서비스 이용지원시스템
클라우드 관련 정책 및 법·제도 해석 지원,SaaS 보안성 검토 필요 여부,청사관리시스템 SaaS를 도입하고자 함. 보안성 검토는 받는게 맞는가?,"<클라우드컴퓨팅법>과 행정안전부의 지침에 의거하여 상용 SaaS를 도입할 떄 CSAP 인증을 받은 제품을 원칙적으로 사용해야 됩니다.
인증이 없을 경우 보안성 검토를 받아야되는데, 보안성 검토는 <행정공공기관 클라우드컴퓨팅서비스 이용안내서> 40p부터 절차가 안내되어있고 해당 기관 보안 담당자 혹은 정보화 담당자에게 문의해주시기 바랍니다. CSAP 인증을 부여받았다면, 보안성 검토 절차는 간소화 될 수 있습니다.","1. 국가법령정보센터에서 관련 법제도 확인 가능
2. 클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서",인증 및 보안
비용 및 예산 문의 문의,예산에 개발비+장비비 포함 가능 여부,"사업예산편성에 있어 개발비용만 포함되는지, 개발+장비비용(국자원)도 같이 포함되는지?",<행정공공기관 클라우드컴퓨팅서비스 이용안내서> 53p에 예산 산정과 관련된 내용을 참고하실 수 있습니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,예산 및 비용
비용 및 예산 문의 문의,클라우드 서비스 연계 및 구매 방안,시스템 개발 비용이 많이들어서 민간업체 패키지 상품을 커스터마이징하여 공단과 연계해 사용하고자함. 가진자료를 클라우드와 연계하고 싶으며 패키지 상품으로 구매하고 싶음,<행정공공기관 클라우드컴퓨팅서비스 이용안내서>에 클라우드 전환 및 도입에 대한 전반적인 내용에 관련하여 안내하고 있으니 참고하시기 바랍니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,예산 및 비용
기타 서비스 관련 문의,클라우드 업체 정보 소개,공공클라우드 지원센터에서 가진 클라우드 업체 리스트 받고싶음,CSAP 인증 제품 현황은 KISA 클라우드 보안인증제 인증발급현황과 민간 SaaS 연계공통기반 자료실에서 월 별 CSAP 인증을 받는 SaaS 목록을 확인하실 수 있습니다.,"1. 민간 SaaS 연계공통기반 홈페이지 > 자료실 > 매달 CSAP 인증 업데이트 (SaaS.go.kr)
2. KISA 클라우드 보안인증제 연도별 인증서 발급현황 확인 (isms.kisa.or.kr/)",클라우드 업체 정보
클라우드 지원사업 문의,21년 전환 사업 결과 시스템 전환 내역,21년 행정공공기관 전환사업으로 302개 시스템 전환에 대한 내역 요청,외부반출이 불가한 자료입니다.,,과거 사업 관련 문의
클라우드 관련 정책 및 법·제도 해석 지원,공공클라우드 센터 운영 사례 문의,"공공기관, 광역지차제에서 공공클라우드 센터를 지정하여 운영한 케이스가 있는지 문의 및 내역 요청",<행정기관 및 공공기관 행정기관 및 공공기관 정보자원 통합기준기준>과 <행정기관 및 공공기관의 클라우드컴퓨팅서비스 이용기준 및 안전성 확보 등에 관한 고시> 개정됨에 따라 공공클라우드센터를 별도로 지정하지 않고 있습니다.,,공공클라우드 센터 관련 문의
기타 서비스 관련 문의,지원센터 회원가입 오류 내용,공공클라우드 지원센터 회원가입 시 네이버 인증오류발생에 대한 확인 요청(토스 등 다른 인증은 질의자가 사용하지 않음),디지털서비스이용지원서비스와 관련한 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,,공공 클라우드 지원센터
기타 서비스 관련 문의,수의계약 진행 관련 문의,"수의계약(서비스 몰에 조회되는 업체) 진행 관련 문의. 자체적으로 수의계약 진행 시 필요한 서류 문의. 일반적으로 수의계약 진행 시 견,타견적서를 구비하는데 클라우드 서비스의 경우 비교견적을 받는게 의미없음. 어떻게 서류구비를 하는가?",계약방식 및 절차에 대해서는 <행정공공기관 클라우드컴퓨팅서비스 이용안내서> 58p부터 안내되어있으며 해당부분을 참고하시어 진행해주시기 바라며 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,클라우드 계약 관련 문의
비용 및 예산 문의 문의,클라우드 도입/전환 비용산정 문의,기관 자체망을 클라우드 시스템으로 전환하고자 함. 이에 따라 발생하는 비용산정 문의,"클라우드 전환사업의 전환비 산정 기준에 따라 전환비를 산정하고 있으며, 클라우드 이용료는 상세설계 결과를 기준으로 클라우드 서비스 제공자(CSP)에서 이용료를 산정하고 있습니다.",,예산 및 비용
클라우드 관련 정책 및 법·제도 해석 지원,클라우드 전환 의무사항 여부,2025년까지 클라우드 전환이 의무사항인가?,"~2030년 시스템 구축 및 고도화 시, 불가피한 사유가 없는 한 클라우드 네이티브 및 SaaS를 적용을 의무적으로 진행해야합니다.",,클라우드 전환 의무 여부
클라우드 관련 기술 문의,공공클라우드 센터 구축 문의,기관에서 사용하는 내부망을 공공클라우드로 전환하고자 함. 공공클라우드 센터 구축 관련 문의,<행정기관 및 공공기관 정보자원 통합기준>과 <행정기관 및 공공기관의 클라우드컴퓨팅서비스 이용 기준 및 안전성 확보 등에 관한 고시> 관련 2개 고시가 개정됨에 따라 공공클라우드센터를 별도로 지정하지 않으니 참고하시기 바랍니다.,국가법령정보센터에서 관련 법제도 확인 가능,공공클라우드 센터 관련 문의
클라우드 관련 정책 및 법·제도 해석 지원,클라우드 서비스 이용 문의,기관에서 클라우드서비스를 이용하고자 함,"CSAP 인증을 받은 민간 클라우드 이용을 우선 검토해야되고, 클라우드서비스 이용에 있어 <행정공공기관 클라우드컴퓨팅서비스 이용안내서>를 참고하시기 바랍니다.",클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,클라우드 서비스 이용 문의
클라우드 지원사업 문의,자체 클라우드 도입 절차 문의,자체 클라우드를 도입한 기관이 있는가. 만일 있다면 도입절차와 보안인증과 관련된 내용을 안내받고 싶음. 만일 자체클라우드를 도입한 기관이 없다면 기관 자체클라우드를 도입하는 절차 및 방법에 관한 매뉴얼을 받고싶음,클라우드 네이티브 구축 운영가이드 內 자체클라우드 도입방안을 참고해주시길 바랍니다.,클라우드전문지원센터 > 자료실 > 클라우드 네이티브 구축운영 가이드,자체 클라우드 관련 문의
기타 서비스 관련 문의,민간클라우드 계약 방법 문의,작년에 사업비를 지원받아 현재 민간클라우드를 사용하고 있음. 재계약을 하려고 하니 우리 기관에서 민간클라우드 비용으로 소규모의 비용이 나감. 금액이 적다보니 계약절차를 간단히 하고싶은데 행안부에서 고시한 내용을 살펴보니 입찰 및 조달청을 통해서 계약을 해야한다고 함. 금액이 적은 경우에도 조달청을 통해서 계약해야 하는가?,계약방식 및 절차에 대해서는 <행정공공기관 클라우드컴퓨팅서비스 이용안내서> 58p부터 안내되어있으며 해당부분을 참고하시어 진행해주시기 바라며 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,클라우드 계약 관련 문의
비용 및 예산 문의 문의,클라우드 도입/전환 비용산정 문의,클라우드 서비스를 도입하고자 함. 이와 관련된 비용 산정 문의,클라우드 서비스 도입에 있어 비용은 해당 제공 서비스 업체로부터 견적 문의를 통해 받으실 수 있습니다.,,예산 및 비용
기타 서비스 관련 문의,클라우드 서비스 계약 방법 문의,클라우드 서비스를 이용하려하는데 계약을 통해 진행해야 하는지 궁금합니다. 그냥 직접 구매가 가능한가요?,계약방식 및 절차에 대해서는 <행정공공기관 클라우드컴퓨팅서비스 이용안내서> 58p부터 안내되어있으며 해당부분을 참고하시어 진행해주시기 바라며 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,클라우드 계약 관련 문의
클라우드 지원사업 문의,전환사업 추진 여부 및 일정 문의,2023년도에 공공클라우드 전환사업 추진여부와 시작 시점 문의,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,지원사업 일정 문의
클라우드 지원사업 문의,전환사업 지원료 범위 문의,클라우드 전환사업 지원료 범위에 대한 문의,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,지원사업 지원금 문의
클라우드 지원사업 문의,전환대상 판단 여부 및 전환 신청 방법 문의,클라우드 전환을 신청하고자 함. 해당기업이 전환대상인지 판단 여부 문의 및 신청법 문의,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,지원사업 신청 방법 문의
클라우드 지원사업 문의,전환사업 이용절차 및 안내서 문의,우리 기관에서 클라우드 전환을 하고자 하는데 관련사항에 대한 이용절차나 안내서가 있으면 받아보고 싶습니다,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,지원사업 신청 방법 문의
클라우드 지원사업 문의,전환사업 신청 서류 템플릿 요청,타 기관에서 전환신청 시 제출한 서류를 예시로 참고하고자 받아보고 싶습니다,외부반출이 어려운 자료입니다.,,지원사업 신청 방법 문의
클라우드 지원사업 문의,전환사업 신청 서류 템플릿 및 신청 방법 문의,클라우드 전환사업을 신청하고자 함. 참고자료가 있다면 송부요청 및 신청법 문의,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,지원사업 신청 방법 문의
클라우드 지원사업 문의,전환사업 신청 시작일 문의,23년도 클라우드 전환사업 신청 시작일 문의,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,지원사업 일정 문의
기타 서비스 관련 문의,민간클라우드 계약 방법 문의,수의계약 진행 관련 문의. 계약 방법이 여러가지가 있는 것으로 알고 있지만 우리 기관에서는 업체와 수의계약으로 진행하고자 한다. 진행해도 되는가?,계약방식 및 절차에 대해서는 <행정공공기관 클라우드컴퓨팅서비스 이용안내서> 58p부터 안내되어있으며 해당부분을 참고하시어 진행해주시기 바라며 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,클라우드 계약 관련 문의
기타 서비스 관련 문의,민간클라우드 계약 방법 문의,기존 진행했던 업체와 계약이 만료되어서 재계약을 진행하고자함. 수의계약 형태로 진행해도 되는가?,계약방식 및 절차에 대해서는 <행정공공기관 클라우드컴퓨팅서비스 이용안내서> 58p부터 안내되어있으며 해당부분을 참고하시어 진행해주시기 바라며 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,클라우드 계약 관련 문의
비용 및 예산 문의 문의,기재부 예산 요구 시 필요 자료,기재부에 예산 요구시 제출해야하는 목록들이 따로 존재하는가?,"(기존 답변) 기재부 예산 요구 시 제출해야하는 목록들이 따로 존재하지 않으며, 몇몇의 기관에서는 CSP 견적서를 근거로 예산 요구하고 있다고 합니다.",,예산 및 비용
기타 서비스 관련 문의,민간클라우드 계약 방법 문의,기존 진행했던 업체와 계약이 만료되어 계약을 다시 진행하고자 함. 수의계약형태로 진행되도 되는가? ,계약방식 및 절차에 대해서는 <행정공공기관 클라우드컴퓨팅서비스 이용안내서> 58p부터 안내되어있으며 해당부분을 참고하시어 진행해주시기 바라며 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,클라우드 계약 관련 문의
클라우드 지원사업 문의,정부 지원 클라우드 컨설팅 문의,현재 클라우드 컨설팅 및 관련 사업 지원을 해주는가?,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,컨설팅 및 지원 제도
클라우드 관련 기술 문의,공공클라우드 센터와 민간클라우드 차이,내부망 관련으로 공공클라우드센터을 사용하고자 하는데 공공클라우드센터와 민간클라우드의 차이는 무엇인가?,"(기존 답변) <행정기관 및 공공기관 정보자원 통합기준>과 <행정기관 및 공공기관의 클라우드컴퓨팅서비스 이용 기준 및 안전성 확보 등에 관한 고시> 관련 2개 고시가 개정됨에 따라 현재 공공클라우드센터의 개념이 없어졌습니다.
해당 클라우드컴퓨팅서비스 이용기준에서 말하는 클라우드컴퓨팅서비스는 민간의클라우드 사업자가 제공하는 상용서비스를 의미합니다.",국가법령정보센터에서 관련 법제도 확인 가능,클라우드 관련 기술 문의
클라우드 관련 기술 문의,G-Cloud에 대한 문의,G-Cloud는 무엇을 말하는가?,"(기존 답변) G-Cloud는 국가정보자원관리원에서 운영하는 데이터센터이며, 클라우드컴퓨팅서비스에 해당되지 않습니다.",,클라우드 관련 기술 문의
클라우드 관련 기술 문의,클라우드네이티브에 대한 문의,기존 25년까지 전환에서 30년까지 클라우드네이티브로 전환해야한다고 들었는데 여기서 말하는 클라우드네이티브는 무엇인가?,"(기존 답변) 클라우드네이티브란 시스템 설계 단계부터 클라우드 기술을 적용하여 구축하는 방식으로 기능개선, 오토스케일 등 클라우드 기술 효과를 최대한 활용하는 것을 말합니다.",,클라우드 관련 기술 문의
기타 서비스 관련 문의,클라우드 업체 정보 소개,민간클라우드업체 리스트를 어디서 확인할 수 있는가?,공공에서 사용할 수 있도록 CSAP 인증을 받은 민간클라우드업체 리스트의 경우는 KISA 클라우드 보안인증제 인증발급현황과 민간 SaaS 연계공통기반 자료실에서 월 별 CSAP 인증을 받는 SaaS 목록을 확인할 수 있습니다.,"1. 민간 SaaS 연계공통기반 홈페이지 > 자료실 > 매달 CSAP 인증 업데이트 (SaaS.go.kr)
2. KISA 클라우드 보안인증제 연도별 인증서 발급현황 확인 (isms.kisa.or.kr/)",클라우드 업체 정보
클라우드 지원사업 문의,전환사업 지원금 정보 문의,"G클라우드로 전환시 지원금을 주는 사업이 NIA에 있는걸로 아는데, 아직 유효한가?
또한 NIA에서 나오는 지원금이 아니더라도, 타 기관의 지원금 정보가 있다면 유용할 것 같은데 알려줄 수 있는가?",현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,지원사업 지원금 문의
클라우드 지원사업 문의,전환사업 담당자 연락처 요구,공공클라우드센터로 지정된 기관 및 공공클라우드 전환사업 담당자 연락처 문의.,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,사업 담당자 문의
클라우드 지원사업 문의,공공클라우드 컨설팅 사업 수요 접수 주기,공공클라우드 컨설팅 사업에 관하여 수요접수를 통상적으로 어떤 주기로 하는지? (분기별/반기별/수시 등),현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,컨설팅 및 지원 제도
비용 및 예산 문의 문의,물리서버 전환 비용 문의,"또한, 실제 물리서버를 클라우드화 하게될 경우 이에 관한 비용 문의.","물리서버 전환 비용은 기관마다 차이가 크기에 구체적으로 전달드리기 어려워, <행정공공기관 클라우드컴퓨팅서비스 이용안내서>의 예산편성 항목을 참고하시기 바랍니다.",클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,예산 및 비용
클라우드 지원사업 문의,클라우드 전환 신청 절차 문의,"기존의 정보시스템(경영평가 관련 시스템)을 클라우드로 전환하고자 하는데, 지원사업 신청방법이 어떻게 되는지 문의.",현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,지원사업 신청 방법 문의
기타 서비스 관련 문의,디지털서비스전문계약제도 시장조사 문의,디지털서비스전문계약제도 관련하여 시장조사분석차원에서 문의. 전체 공공기관에서 발주하는 사업중에 디지털계약제도로 활용해서 띄우는 사업기준이 어느정도 되는가?,"디지털서비스전문계약제도 관련 통계는 디지털서비스 이용지원시스템(digitalmarket.kr) > 디지털서비스 이용관리 탭에서 확인하실 수 있습니다.
디지털서비스이용지원서비스와 관련한 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.",,디지털서비스 이용지원시스템
클라우드 지원사업 문의,공공클라우드 및 민간클라우드 전환 집계 자료,"클라우드 로드맵과 관련해서 집계자료가 있을텐데, 지금까지 공공기관에서 공공클라우드로 전환된 시스템과 민간클라우드로 전환된 시스템 숫자가 각각 어떻게 되는가? 또한 전체시스템 중에 몇 개의 시스템이 전환완료 되었는가?",클라우드 전환사업에 대한 결과 등 전반적인 사업 내용은 공공클라우드전환센터의 전환사업 탭에서 확인하실 수 있습니다.,클라우드전문지원센터 홈페이지 > 전환사업탭,과거 사업 관련 문의
기타 서비스 관련 문의,디지털서비스 이용지원시스템 사용법 문의,디지털서비스 이용지원시스템 관련하여 사용법을 문의하고자 함.,디지털서비스이용지원서비스와 관련한 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,,디지털서비스 이용지원시스템
기타 서비스 관련 문의,클라우드 컴퓨팅 사업 계약 절차 문의,"클라우드 컴퓨팅 사업 관련 계약을 진행하려고 함. 수의계약 방식과 카탈로그 계약 방식 중에서, 수의계약이 가능한지 여부와 구체적인 수의계약 관련 절차에 대한 문의.",디지털서비스이용지원서비스와 관련한 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,클라우드전문지원센터 > 자료실 > 행정공공기관 클라우드컴퓨팅서비스 이용안내서,클라우드 계약 관련 문의
클라우드 관련 정책 및 법·제도 해석 지원,민간클라우드와 공공클라우드 분류기준 문의,운영중인 정보시스템 관련하여 클라우드 전환을 고려중이신 상황임. 민간클라우드와 공공클라우드 분류기준이 어떻게 되는지 문의,"민간클라우드는 민간 CSP사업자가 제공하는 클라우드컴퓨팅서비스 제공 유형 이용에 따른 분류이며, 공공클라우드는 국정자원관리원의 G-cloud를 일컫습니다. ",국가법령정보센터에서 관련 법제도 확인 가능,도입 방식 및 절차
기타 서비스 관련 문의,디지털서비스이용지원서비스 등록 절차 문의,디지털서비스이용지원서비스에 RF등록완료 했습니다. 이후 절차 안내를 부탁드립니다,디지털서비스이용지원서비스와 관련한 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,,디지털서비스 이용지원시스템
기타 서비스 관련 문의,디지털이용지원시스템 카탈로그 계약 절차,"디지털이용지원시스템, 디지털서비스몰에서 카탈로그 계약 관련한 절차 문의",디지털서비스이용지원서비스와 관련한 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,,디지털서비스 이용지원시스템
비용 및 예산 문의 문의,디지털서비스전문계약 초과 예산 관련 서식,클라우드 업체와 계약해서 서비스 이용중임. 예산 초과된 부분에 관한 계약서식 문의,디지털서비스이용지원서비스와 관련한 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,,디지털서비스 이용지원시스템
기타 서비스 관련 문의,디지털서비스전문계약 관련,"디지털서비스전문계약 관련. 계약에 필요한 견적서, rfp, 견적서, 수의계약 등 관련 문서 문의",디지털서비스이용지원서비스와 관련한 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,,디지털서비스 이용지원시스템
기타 서비스 관련 문의,공공클라우드지원센터 홈페이지 자료 공유 여부 문의,공공클라우드지원센터 홈페이지의 자료실에 있는 자료들을 직원들에게 공유하여도 되는지 문의,"행정·공공기관 클라우드전문지원센터內 자료들은 공개되어 있는 자료로, 공유가 가능합니다.",,공공클라우드 센터 관련 문의
비용 및 예산 문의 문의,클라우드 전환 예산 지원 여부 문의,클라우드 전환 관련하여 예산 지원이 가능한지?,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,지원사업 지원금 문의
클라우드 지원사업 문의,클라우드 예산 관련 담당자 연락처 문의,"내년 클라우드 관련하여 110억 예산을 확보했다는 얘기를 들었는데, 관련하여 담당자 연락처를 안내받고자 함",현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,사업 담당자 문의
클라우드 지원사업 문의,공공클라우드 및 공공클라우드 센터 진행사항 문의,공공클라우드 관련정책 및 공공클라우드센터가 어떻게 진행되고있는지 문의,공공 클라우드 관련 정책은 <행정기관 및 공공기관 행정기관 및 공공기관 정보자원 통합기준기준>과 <행정기관 및 공공기관의 클라우드컴퓨팅서비스 이용기준 및 안전성 확보 등에 관한 고시>를 참고해주시기 바랍니다.,국가법령정보센터에서 관련 법제도 확인 가능,공공클라우드 센터 관련 문의
기타 서비스 관련 문의,국가정보자원관리원 입주 문의,국가정보자원관리원으로 입주가 가능한지 문의,구체적인 입주 조건은 국가정보자원관리원으로 문의해주시기 바랍니다.,,국가정보자원관리원 문의
클라우드 지원사업 문의,클라우드컴퓨팅서비스 활용모델 사업 관련 문의,클라우드컴퓨팅서비스 활용모델 사업 관련 내용에 대한 자료 문의,행정·공공기관 클라우드전문지원센터 홈페이지 자료실에 <2022년 클라우드컴퓨팅서비스 지자체 활용모델 사업> 자료를 구하실 수 있습니다.,클라우드전문지원센터 > 전환사업 > 클라우드컴퓨팅서비스 활용모델 사업,과거 사업 관련 문의
클라우드 관련 정책 및 법·제도 해석 지원,CSAP 인증 서비스 사용 여부 문의,CSAP 인증 SaaS상품만 공공부문에서 사용이 가능한가?,<클라우드컴퓨팅법>과 행정안전부의 지침에 의거하여 상용 SaaS를 도입할 떄 CSAP 인증을 받은 제품을 원칙적으로 사용해야 됩니다.,"1. 국가법령정보센터 관련 법제도 확인 가능
2. 민간 SaaS 연계공통기반 홈페이지 > 자료실 > 매달 CSAP 인증 업데이트 (SaaS.go.kr)
3. KISA 클라우드 보안인증제 연도별 인증서 발급현황 확인 (isms.kisa.or.kr/)",인증 및 보안
기타 서비스 관련 문의,디지털서비스 이용지원시스템 상 SaaS 상품 계약 절차,"SaaS상품의 경우 디지털서비스 이용지원시스템을 통해 진행하면 되는건지, 별도의 절차가 있는건지",디지털서비스이용지원서비스와 관련한 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,,디지털서비스 이용지원시스템
클라우드 지원사업 문의,전환사업 관련 문의 및 관련부서 담당자 연락처 요청,"기존 홈페이지 시스템 장비 노후화로 클라우드 전환을 고려중인 상황, 이에 관한 문의 및 관련부서 연락처 요청",현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,사업 담당자 문의
기타 서비스 관련 문의,CSAP 인증 서비스 업데이트 문의,"cpcp.or.kr의 자료실 메뉴에 있는 [행정공공기관전환] CSAP 인증을 받은 사스 목록 관련하여,
아직 업데이트 되지 않은 11월 제품에 대한 문의",공공에서 사용할 수 있도록 CSAP 인증을 받은 민간클라우드업체 리스트의 경우는 KISA 클라우드 보안인증제 인증발급현황과 민간 SaaS 연계공통기반 자료실에서 월 별 CSAP 인증을 받는 SaaS 목록을 확인할 수 있습니다.,"1. 민간 SaaS 연계공통기반 홈페이지 > 자료실 > 매달 CSAP 인증 업데이트 (SaaS.go.kr)
2. KISA 클라우드 보안인증제 연도별 인증서 발급현황 확인 (isms.kisa.or.kr/)",공공 클라우드 지원센터
기타 서비스 관련 문의,디지털서비스 이용지원시스템 등록 관련 문의,디지털서비스 이용지원시스템 등록 관련으로 문의,디지털서비스이용지원서비스와 관련한 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,,디지털서비스 이용지원시스템
기타 서비스 관련 문의,디지털서비스 이용지원시스템 등록 관련 문의,"사내웹통합시스템을 계약하여 이용중인 상황이며, 디지털서비스 이용지원시스템 등록 관련 문의",디지털서비스이용지원서비스와 관련한 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,,디지털서비스 이용지원시스템
클라우드 지원사업 문의,클라우드네이티브 전환사업 수요조사 관련 문의,클라우드네이티브 전환사업 수요조사 관련 문의,현재 '26 지원사업에 대한 일정을 내부적으로 검토하고 있습니다. 추후에 일정과 내용이 확정되면 관련 내용을 전달드릴 예정입니다.,,과거 사업 관련 문의
기타 서비스 관련 문의,디지털서비스 이용지원 시스템 문의,디지털서비스 이용지원 시스템 수의계약 및 카탈로그계약 관련 문의,계약방식 및 절차에 대해서는 <행정공공기관 클라우드컴퓨팅서비스 이용안내서> 58p부터 안내되어있으며 해당부분을 참고하시어 진행해주시기 바라며 자세한 내용은 담당부서인 1522-0089 내선 1번으로 문의주시면 감사하겠습니다.,,디지털서비스 이용지원시스템
,,,,,
